stimulus,Accuracy,RT,inversion,subid,age,sex,date
left-down,0,6.0699996538460255e-05,No,001,44,Male,2024-11-12_01:13
right-down,0,0.00012129999231547117,No,001,44,Male,2024-11-12_01:13
right-up,0,0.00012919999426230788,No,001,44,Male,2024-11-12_01:13
left-down,0,6.319995736703277e-05,No,001,44,Male,2024-11-12_01:13
right-down,1,1.1665349999675527,No,001,44,Male,2024-11-12_01:13
right-down,1,4.008310299948789,No,001,44,Male,2024-11-12_01:13
left-down,0,1.8736012000008486,No,001,44,Male,2024-11-12_01:13
left-up,1,1.1604738000314683,No,001,44,Male,2024-11-12_01:13
right-down,1,0.9693255000165664,No,001,44,Male,2024-11-12_01:13
left-up,1,1.2005347999511287,No,001,44,Male,2024-11-12_01:13
right-up,1,0.9931998000247404,No,001,44,Male,2024-11-12_01:13
left-up,1,1.145121100009419,No,001,44,Male,2024-11-12_01:13
right-up,1,1.3135161000536755,No,001,44,Male,2024-11-12_01:13
left-up,1,1.3760677999816835,No,001,44,Male,2024-11-12_01:13
left-down,1,0.999740400002338,No,001,44,Male,2024-11-12_01:13
left-up,1,1.3533728999900632,No,001,44,Male,2024-11-12_01:13
left-down,1,1.3890782999806106,No,001,44,Male,2024-11-12_01:13
left-down,1,1.1199468999984674,No,001,44,Male,2024-11-12_01:13
right-down,1,1.0741343999980018,No,001,44,Male,2024-11-12_01:13
right-down,1,3.5827836000244133,No,001,44,Male,2024-11-12_01:13
left-down,0,1.9448074999963865,No,001,44,Male,2024-11-12_01:13
right-down,1,1.1263580999802798,No,001,44,Male,2024-11-12_01:13
right-up,1,1.220961199956946,No,001,44,Male,2024-11-12_01:13
right-up,1,1.707340299966745,No,001,44,Male,2024-11-12_01:13
left-up,1,1.20084720000159,No,001,44,Male,2024-11-12_01:13
right-up,1,1.2807324000168592,No,001,44,Male,2024-11-12_01:13
left-up,1,1.1199628000031225,No,001,44,Male,2024-11-12_01:13
left-down,1,1.312280100013595,No,001,44,Male,2024-11-12_01:13
right-up,1,0.8410284000565298,No,001,44,Male,2024-11-12_01:13
right-down,1,1.373222199967131,No,001,44,Male,2024-11-12_01:13
left-up,1,0.9435878000222147,No,001,44,Male,2024-11-12_01:13
right-up,1,1.1922946000122465,No,001,44,Male,2024-11-12_01:13
right-down,1,1.9177236999967135,No,001,44,Male,2024-11-12_01:13
right-down,1,2.4312322000041604,No,001,44,Male,2024-11-12_01:13
right-down,1,1.9276053999783471,No,001,44,Male,2024-11-12_01:13
right-up,1,1.1369218000327237,No,001,44,Male,2024-11-12_01:13
left-up,1,1.2466601000051014,No,001,44,Male,2024-11-12_01:13
left-down,1,1.9199948000023142,No,001,44,Male,2024-11-12_01:13
left-up,1,1.513011600007303,No,001,44,Male,2024-11-12_01:13
right-up,1,0.9759233000222594,No,001,44,Male,2024-11-12_01:13
right-down,1,1.2411517999717034,No,001,44,Male,2024-11-12_01:13
left-up,1,0.9129351999727078,No,001,44,Male,2024-11-12_01:13
right-up,1,0.9965049999882467,No,001,44,Male,2024-11-12_01:13
